sepal_length,sepal_width,petal_length,petal_width,target,species,random_values,new_attribute_1,new_attribute_2,new_attribute_3,new_attribute_4,new_attribute_5
6.4,2.9,4.3,1.3,1,versicolor,1.9133213725297131,12.404358643206775,5.707733839352779,8.386383760894377,2.646419643305237,6.689937291128661
6.6,3.0,4.4,1.4,1,versicolor,2.0966196138096,14.038136407645927,6.490305797931367,9.425573257264809,3.135714415836007,6.295848762005681
6.8,2.8,4.8,1.4,1,versicolor,2.013635337216612,13.924190569304463,5.869649220438015,9.896919894871239,3.0505597483347593,6.7539537813231245
6.7,3.0,5.0,1.7,1,versicolor,2.085878892043164,14.232915719911794,6.515163819352089,10.686921603438416,3.803521259695975,6.4241505348732915
6.0,2.9,4.5,1.5,1,versicolor,2.063476598961082,12.4706857880164,6.073908331237045,9.375470889574776,3.185041092691531,5.815428198236778
5.7,2.6,3.5,1.0,1,versicolor,2.018144379333548,11.842356663001473,5.5861090870674746,7.4024390284676675,2.357078080133798,5.648753437434751
5.5,2.4,3.8,1.1,1,versicolor,2.033957023743324,11.51625770466347,5.210990931059165,8.05853076429982,2.566846800192843,5.408177199219008
5.5,2.4,3.7,1.0,1,versicolor,2.070639908666634,11.821240882195152,5.402257165328587,8.094089046595212,2.5033612931952995,5.3123674251421775
5.8,2.7,3.9,1.2,1,versicolor,1.9658655436599275,11.43734018186798,5.343156996522206,7.702195648914118,2.3943586810323136,5.900708742472709
6.0,2.7,5.1,1.6,1,versicolor,1.9209485362780783,11.546963157032812,5.207832987315153,9.81810947438254,3.094789597409267,6.246913841455911
5.4,3.0,4.5,1.5,1,versicolor,2.0271474026968535,11.29479796294366,6.429644196471211,9.470365300516491,3.3889230924259306,5.327683613748077
6.0,3.4,4.5,1.6,1,versicolor,1.9912563597463013,12.2309600982704,7.053693562930015,9.244075558650946,3.4694321153866725,6.026346101176483
6.7,3.1,4.7,1.5,1,versicolor,2.0336146034223272,13.762464365576358,6.44145179325598,9.695235158731704,3.187668427780256,6.589252446087583
6.3,2.3,4.4,1.3,1,versicolor,2.0681824353938976,13.325703853172739,5.052974111597149,9.396157225924336,2.984791676203252,6.09230587416736
5.6,3.0,4.1,1.3,1,versicolor,1.93104116475271,10.90116542722736,5.880458398870314,8.004603680098294,2.597688418790707,5.799979930222915
5.5,2.5,4.0,1.3,1,versicolor,1.9344601895447493,10.993896105313947,5.190515536679699,8.092205820996824,2.8691633092260007,5.686340850771765
5.5,2.6,4.4,1.2,1,versicolor,2.066952239953118,11.739350363887773,5.745188868023731,9.465702899939345,2.8514557320893656,5.321845269269259
6.1,3.0,4.6,1.4,1,versicolor,2.0811002361235973,12.776846709649973,6.325435977666822,9.655196355464577,2.995675599869066,5.862283703703081
5.8,2.6,4.0,1.2,1,versicolor,2.058108887077362,12.202018745177657,5.6160703065301005,8.497422748438407,2.734717864621793,5.636242121510245
5.0,2.3,3.3,1.0,1,versicolor,1.910317944751732,9.815011474822558,4.657153023992882,6.567470968744614,2.1737396958156303,5.2347307041078
5.6,2.7,4.2,1.3,1,versicolor,1.9689921071561942,11.358636031652557,5.648558920899595,8.602047081633886,2.8919699708809237,5.688189383438466
5.7,3.0,4.2,1.2,1,versicolor,2.0101078637604894,11.673147382826908,6.2458561506735855,8.657985587186174,2.6276619959047043,5.67133744687362
5.7,2.9,4.2,1.3,1,versicolor,1.939867080843849,11.11338122213016,5.681753395767384,8.203580600864386,2.5779660664172255,5.876691301468429
6.2,2.9,4.3,1.3,1,versicolor,1.9368694220854181,12.068684783275112,5.677015690393232,8.388632881312816,2.578024615056563,6.402083619374289
5.1,2.5,3.0,1.1,1,versicolor,1.9736196179274321,10.554041654834776,5.422630648223454,6.40944045718717,2.6595631831250492,5.168169138241228
5.7,2.8,4.1,1.3,1,versicolor,1.9102866067859494,10.908688923674582,5.368857763995326,7.8522303528170605,2.5034278538164023,5.967690900152653
6.3,3.3,6.0,2.5,2,virginica,1.9708006345105198,12.583986123206133,6.671584219674573,11.992745932852978,5.094943712066157,6.393340746579074
5.8,2.7,5.1,1.9,2,virginica,1.9312857172221711,11.320254714101333,5.333268990712604,9.968354712045812,3.788240416934866,6.006361408132114
7.1,3.0,5.9,2.1,2,virginica,2.039150497698799,14.548271044071555,6.18775400350648,12.101290446832998,4.352518555577562,6.9636841498579125
6.3,2.9,5.6,1.8,2,virginica,1.9445961709311357,12.406165930137313,5.794538948971452,11.044948610485518,3.6554831609472025,6.479494400097842
6.5,3.0,5.8,2.2,2,virginica,1.9905485982537958,13.218634298449146,6.2517142045608605,11.825250279671488,4.6592753259578235,6.530862904530048
7.6,3.0,6.6,2.1,2,virginica,1.9885047617996294,15.191930359935947,6.044808455657653,13.203425598136318,4.2551541700379865,7.643934423493032
4.9,2.5,4.5,1.7,2,virginica,1.9037066544502523,9.545515530150539,4.976619559469932,8.784032868370437,3.45365423590973,5.147851942992772
7.3,2.9,6.3,1.8,2,virginica,2.0935854276204857,15.63229302262164,6.420517141091502,13.538707595001155,4.117573170708968,6.973682471889373
6.7,2.5,5.8,1.8,2,virginica,2.057249136918412,14.243080161986509,5.602633786929178,12.391555938759936,4.1625593910862895,6.513552374153423
7.2,3.6,6.1,2.5,2,virginica,1.948193633310537,14.38507908781613,7.371582007898197,12.24206609117454,5.228569011256607,7.391462405885338
6.5,3.2,5.1,2.0,2,virginica,1.9456943112638296,13.026838585456037,6.606047358285399,10.302866549686673,4.271214184768803,6.681419545065033
6.4,2.7,5.3,1.9,2,virginica,2.0278919377954274,13.368192952455729,5.8649927826126484,11.13751182088076,4.2426792323763065,6.311973415070235
6.8,3.0,5.5,2.1,2,virginica,2.0552270057549373,14.44847427213367,6.638611650264909,11.776679164652252,4.788907345085465,6.617273888440549
5.7,2.5,5.0,2.0,2,virginica,1.980419651747716,11.528616307006823,5.191273421414131,10.14232255078342,4.2010635955402735,5.756355724878576
5.8,2.8,5.1,2.4,2,virginica,2.051782107533458,12.245216516293247,6.0898701936928745,10.808969041019827,5.2691573506794915,5.653621774655641
6.4,3.2,5.3,2.3,2,virginica,2.0577869116419327,13.486656165534981,6.901738048280797,11.223090562728856,5.0497298278030565,6.220274765858399
6.5,3.0,5.5,1.8,2,virginica,1.9415741821299692,12.91790261959629,6.122392982141398,10.976328437466321,3.792503963585435,6.695597891468964
7.7,3.8,6.7,2.2,2,virginica,2.0520780681710695,16.216178003501266,8.213073537634095,14.164099935330198,4.929748628560385,7.504587782922591
7.7,2.6,6.9,2.3,2,virginica,1.9783785111763086,15.530414612284943,5.440684205285768,13.947711803343896,4.847170651932875,7.784152482956072
6.0,2.2,5.0,1.5,2,virginica,2.098358215995423,12.71673247047507,4.742971249692465,10.618374254479649,3.2741204984956678,5.718756649139345
6.9,3.2,5.7,2.3,2,virginica,1.9197120728510504,13.334182318374065,6.231247648825178,11.030527830952805,4.503506783259232,7.18857801394404
5.6,2.8,4.9,2.0,2,virginica,2.0567745126338135,11.940533287487177,6.181564652112501,10.50079112864351,4.53614504200545,5.445419481427636
7.7,2.8,6.7,2.0,2,virginica,2.0637266323585077,16.045464838250716,5.9332043396940275,13.981738205892208,4.282223033807222,7.46222864915024
6.3,2.7,4.9,1.8,2,virginica,2.02358751376104,13.127154074485547,5.842239024945804,10.294131555220092,4.021010262560868,6.226565401454587
6.7,3.3,5.7,2.1,2,virginica,2.062046014859986,14.002521837805864,6.991565387281909,11.940475822945876,4.517110169449926,6.4984000858535
7.2,3.2,6.0,1.8,2,virginica,1.9368791481293024,14.060564980018633,6.313048387501423,11.73631000226347,3.6014175801204,7.434640418276982
6.2,2.8,4.8,1.8,2,virginica,2.074816223261896,13.185084858778907,6.13070969968846,10.280342146212252,4.055893476426565,5.9764329298069105
6.1,3.0,4.9,1.8,2,virginica,1.9732276064789671,12.493348952110386,6.376343372025588,10.125475824335627,4.0084702442508275,6.182763691295458
6.4,2.8,5.6,2.1,2,virginica,2.0027558495004127,13.233138014947965,6.023216956746479,11.630933335347635,4.621287862096191,6.391193416408176
7.2,3.0,5.8,1.6,2,virginica,1.9036881156649765,14.048251782036624,6.0527616962437225,11.383088420105658,3.3875983343127554,7.564264272863805
7.4,2.8,6.1,1.9,2,virginica,1.922595793895913,14.59010586082806,5.746165208906859,12.090731328763372,4.015828994400538,7.697925922333134
7.9,3.8,6.4,2.0,2,virginica,2.0504864500635502,16.259420568434027,7.852426123173468,13.1836908933387,4.161550513059078,7.705488616864703
6.4,2.8,5.6,2.2,2,virginica,1.938842205790543,12.578105548299003,5.5982736074530495,11.027031783666569,4.434968283978724,6.601878152730295
6.3,2.8,5.1,1.5,2,virginica,2.026581387984105,12.789919015786973,5.696884157842605,10.358021350206046,3.0623283534632684,6.217366879369971
6.1,2.6,5.6,1.4,2,virginica,2.052310824930541,12.915521614020943,5.732433726764048,11.889366201555672,3.2696607368473996,5.944518662475455
7.7,3.0,6.1,2.3,2,virginica,2.00765689313984,15.766218187324125,6.3302307895668735,12.553967158300377,4.924870964368985,7.670633389909288
6.3,3.4,5.6,2.4,2,virginica,2.0852673131593393,13.331295784564633,7.28402057640255,11.871608665353095,5.19875326324321,6.04239078629686
6.4,3.1,5.5,1.8,2,virginica,1.9110016575251276,12.622399173590315,6.316093703757393,10.9024976818177,3.831791548974728,6.698058031292782
6.0,3.0,4.8,1.8,2,virginica,1.9161453626507767,11.753019405656932,6.004583317704603,9.453644970476,3.7052088825236718,6.262572889250593
6.9,3.1,5.4,2.1,2,virginica,1.9591279468894043,13.747154632928893,6.302468434749155,10.808462712594785,4.34334048785975,7.043950356540461
6.7,3.1,5.6,2.4,2,virginica,1.942038614286109,13.249416095036468,6.258077083606474,11.113173619321746,4.898650053606198,6.899965789262034
6.9,3.1,5.1,2.3,2,virginica,2.0485375510113566,14.359970640870655,6.5755279470275,10.672603049050213,4.936697906218415,6.736513076456413
5.8,2.7,5.1,1.9,2,virginica,1.9186362678565827,11.51879537223879,5.571022941883383,10.175749984739182,4.036113927598117,6.045960974645297
6.8,3.2,5.9,2.3,2,virginica,2.0763112507043813,14.402523005197995,6.927802502662224,12.533842879564054,5.05912237702828,6.55007768964612
6.7,3.3,5.7,2.5,2,virginica,1.9038123304752197,12.882874521293358,6.409912597677609,10.979062190818137,4.886862733297434,7.038508883202349
6.7,3.0,5.2,2.3,2,virginica,1.9040016712069543,12.89091675511514,5.846110571649407,10.034914248304707,4.5133094018045385,7.037808948720978
6.3,2.5,5.0,1.9,2,virginica,1.9549981593618837,12.578457048355665,5.149464042780509,10.036959441185218,3.9764651471633776,6.445018855727553
6.5,3.0,5.2,2.0,2,virginica,2.035486174609756,13.55154949340314,6.427347882268993,10.905417466410457,4.391861707659238,6.386680569074542
6.2,3.4,5.4,2.3,2,virginica,2.00235126205697,12.672347775895842,7.065764242136324,11.070466766250266,4.8631778538736565,6.19271964663271
5.9,3.0,5.1,1.8,2,virginica,2.097784350167216,12.547010435257857,6.463435819772931,10.868782955124082,3.946094599572272,5.624982376791691
